LABEL_TYPECODE,SERIAL_NUMBER,BARCODE,LOCATION,INSTITUTION,MANUFACTURER,NAME_LABEL,PRODUCTION_DATE,BATCH_NUMBER
EH-0QFB,10002,320EH0QFB010002,Minnesota,Minnesota,AdvancedPCB APCT,Bare HD Full Engine 320EH0QFB010002,2024-06-18,1
EH-0QFB,10003,320EH0QFB010003,Minnesota,Minnesota,AdvancedPCB APCT,Bare HD Full Engine 320EH0QFB010003,2024-06-18,1
EH-0QFB,10004,320EH0QFB010004,Minnesota,Minnesota,AdvancedPCB APCT,Bare HD Full Engine 320EH0QFB010004,2024-06-18,1
EH-0QFB,10005,320EH0QFB010005,Minnesota,Minnesota,AdvancedPCB APCT,Bare HD Full Engine 320EH0QFB010005,2024-06-18,1
EH-0QFB,10007,320EH0QFB010007,Minnesota,Minnesota,AdvancedPCB APCT,Bare HD Full Engine 320EH0QFB010007,2024-06-18,1
EH-0QFB,10008,320EH0QFB010008,Minnesota,Minnesota,AdvancedPCB APCT,Bare HD Full Engine 320EH0QFB010008,2024-06-18,1
EH-0QFB,10016,320EH0QFB010016,Minnesota,Minnesota,AdvancedPCB APCT,Bare HD Full Engine 320EH0QFB010016,2024-06-18,1
EH-0QFB,10021,320EH0QFB010021,Minnesota,Minnesota,AdvancedPCB APCT,Bare HD Full Engine 320EH0QFB010021,2024-06-18,1
EH-0QFB,10025,320EH0QFB010025,Minnesota,Minnesota,AdvancedPCB APCT,Bare HD Full Engine 320EH0QFB010025,2024-06-18,1
EH-0QFB,10028,320EH0QFB010028,Minnesota,Minnesota,AdvancedPCB APCT,Bare HD Full Engine 320EH0QFB010028,2024-06-18,1
EH-0QHB,10005,320EH0QHB010005,Minnesota,Minnesota,AdvancedPCB APCT,Bare HD Half Engine 320EH0QHB010005,2024-06-18,1
EH-0QHB,10006,320EH0QHB010006,Minnesota,Minnesota,AdvancedPCB APCT,Bare HD Half Engine 320EH0QHB010006,2024-06-18,1
EH-0QHB,10007,320EH0QHB010007,Minnesota,Minnesota,AdvancedPCB APCT,Bare HD Half Engine 320EH0QHB010007,2024-06-18,1
EH-0QHB,10008,320EH0QHB010008,Minnesota,Minnesota,AdvancedPCB APCT,Bare HD Half Engine 320EH0QHB010008,2024-06-18,1
EH-0QHB,10009,320EH0QHB010009,Minnesota,Minnesota,AdvancedPCB APCT,Bare HD Half Engine 320EH0QHB010009,2024-06-18,1
EH-0QHB,10010,320EH0QHB010010,Minnesota,Minnesota,AdvancedPCB APCT,Bare HD Half Engine 320EH0QHB010010,2024-06-18,1
EH-0QHB,10011,320EH0QHB010011,Minnesota,Minnesota,AdvancedPCB APCT,Bare HD Half Engine 320EH0QHB010011,2024-06-18,1
EH-0QHB,10012,320EH0QHB010012,Minnesota,Minnesota,AdvancedPCB APCT,Bare HD Half Engine 320EH0QHB010012,2024-06-18,1
EH-0QHB,10013,320EH0QHB010013,Minnesota,Minnesota,AdvancedPCB APCT,Bare HD Half Engine 320EH0QHB010013,2024-06-18,1
EH-0QHB,10014,320EH0QHB010014,Minnesota,Minnesota,AdvancedPCB APCT,Bare HD Half Engine 320EH0QHB010014,2024-06-18,1
