Test ID,Chip,Temperature
67,DAQ_Temperature,77.33966745843232
67,WEST_Temperature,70.21377672209027
67,EAST_Temperature,64.98812351543944
73,DAQ_Temperature,63.56294536817103
73,WEST_Temperature,62.137767220902624
73,EAST_Temperature,70.21377672209027
79,DAQ_Temperature,77.33966745843232
79,WEST_Temperature,70.21377672209027
79,EAST_Temperature,64.98812351543944
86,DAQ_Temperature,63.56294536817103
86,WEST_Temperature,62.137767220902624
86,EAST_Temperature,70.21377672209027
93,DAQ_Temperature,77.33966745843232
93,WEST_Temperature,70.21377672209027
93,EAST_Temperature,64.98812351543944
101,DAQ_Temperature,63.56294536817103
101,WEST_Temperature,62.137767220902624
101,EAST_Temperature,70.21377672209027
114,DAQ_Temperature,71.63895486935868
114,WEST_Temperature,68.31353919239906
114,EAST_Temperature,67.36342042755345
121,DAQ_Temperature,71.63895486935868
121,WEST_Temperature,68.31353919239906
121,EAST_Temperature,67.36342042755345
141,WEST_Temperature,58.812351543943
141,EAST_Temperature,54.061757719714976
141,DAQ_Temperature,27.458432304038013
151,WEST_Temperature,53.58669833729217
151,EAST_Temperature,48.83610451306414
151,DAQ_Temperature,24.608076009501193
161,WEST_Temperature,60.237529691211414
161,EAST_Temperature,62.137767220902624
161,DAQ_Temperature,38.38479809976248
182,WEST_Temperature,58.337292161520196
182,EAST_Temperature,61.66270783847982
182,DAQ_Temperature,36.959619952494066
193,WEST_Temperature,55.01187648456058
193,EAST_Temperature,59.2874109263658
193,DAQ_Temperature,39.80997624703089
208,WEST_Temperature,58.337292161520196
208,EAST_Temperature,60.71258907363421
208,DAQ_Temperature,37.43467933491687
238,WEST_Temperature,65.93824228028504
238,EAST_Temperature,68.31353919239906
238,DAQ_Temperature,41.7102137767221
251,WEST_Temperature,66.88836104513065
251,EAST_Temperature,67.83847980997626
251,DAQ_Temperature,42.1852731591449
261,WEST_Temperature,69.73871733966747
261,EAST_Temperature,70.68883610451307
261,DAQ_Temperature,44.560570071258915
272,WEST_Temperature,50.26128266033255
272,EAST_Temperature,46.93586698337293
272,DAQ_Temperature,18.90736342042756
283,WEST_Temperature,55.01187648456058
283,EAST_Temperature,69.73871733966747
283,DAQ_Temperature,38.859857482185284
296,WEST_Temperature,61.18764845605702
296,EAST_Temperature,63.56294536817103
296,DAQ_Temperature,37.43467933491687
308,WEST_Temperature,56.91211401425179
308,EAST_Temperature,51.21140142517815
308,DAQ_Temperature,24.608076009501193
