Test ID,Pin,Read,Write
281,WEST_PWR_EN0,1,1
281,WEST_PWR_EN1,1,1
281,WEST_PWR_EN2,1,1
281,WEST_HGCROC_RE_Hb0,1,1
281,WEST_HGCROC_RE_Hb1,1,1
281,WEST_HGCROC_RE_Hb2,1,1
281,WEST_HGCROC_RE_Sb0,1,1
281,WEST_HGCROC_RE_Sb1,1,1
281,WEST_HGCROC_RE_Sb2,1,1
281,WEST_ECON_RE_Hb0,1,1
281,WEST_ECON_RE_Hb1,1,1
281,WEST_ECON_RE_Hb2,1,1
281,WEST_ECON_RE_Sb0,1,1
281,WEST_ECON_RE_Sb1,1,1
281,WEST_ECON_RE_Sb2,1,1
281,WEST_PG_LDO0,1,1
281,WEST_PG_LDO1,1,1
281,WEST_PG_LDO2,1,1
281,WEST_PG_DCDC0,1,1
281,WEST_PG_DCDC1,1,1
281,WEST_PG_DCDC2,1,1
281,EAST_PWR_EN0,0,1
281,EAST_PWR_EN1,1,1
281,EAST_PWR_EN2,1,1
281,EAST_HGCROC_RE_Hb0,0,1
281,EAST_HGCROC_RE_Hb1,1,1
281,EAST_HGCROC_RE_Hb2,1,1
281,EAST_HGCROC_RE_Sb0,0,1
281,EAST_HGCROC_RE_Sb1,0,0
281,EAST_HGCROC_RE_Sb2,1,1
281,EAST_ECON_RE_Hb0,0,1
281,EAST_ECON_RE_Hb1,1,1
281,EAST_ECON_RE_Hb2,1,1
281,EAST_ECON_RE_Sb0,0,1
281,EAST_ECON_RE_Sb1,1,1
281,EAST_ECON_RE_Sb2,1,1
281,EAST_PG_LDO0,0,1
281,EAST_PG_LDO1,1,1
281,EAST_PG_LDO2,1,1
281,EAST_PG_DCDC0,1,1
281,EAST_PG_DCDC1,1,1
281,EAST_PG_DCDC2,1,1
281,X_RESETb,1,1
281,X_PWR_EN,1,1
282,WEST_PWR_EN0,1,1
282,WEST_PWR_EN1,1,1
282,WEST_PWR_EN2,1,1
282,WEST_HGCROC_RE_Hb0,1,1
282,WEST_HGCROC_RE_Hb1,1,1
282,WEST_HGCROC_RE_Hb2,1,1
282,WEST_HGCROC_RE_Sb0,1,1
282,WEST_HGCROC_RE_Sb1,1,1
282,WEST_HGCROC_RE_Sb2,1,1
282,WEST_ECON_RE_Hb0,1,1
282,WEST_ECON_RE_Hb1,1,1
282,WEST_ECON_RE_Hb2,1,1
282,WEST_ECON_RE_Sb0,1,1
282,WEST_ECON_RE_Sb1,1,1
282,WEST_ECON_RE_Sb2,1,1
282,WEST_PG_LDO0,1,1
282,WEST_PG_LDO1,1,1
282,WEST_PG_LDO2,1,1
282,WEST_PG_DCDC0,1,1
282,WEST_PG_DCDC1,1,1
282,WEST_PG_DCDC2,1,1
282,EAST_PWR_EN0,0,1
282,EAST_PWR_EN1,1,1
282,EAST_PWR_EN2,1,1
282,EAST_HGCROC_RE_Hb0,0,1
282,EAST_HGCROC_RE_Hb1,1,1
282,EAST_HGCROC_RE_Hb2,1,1
282,EAST_HGCROC_RE_Sb0,0,1
282,EAST_HGCROC_RE_Sb1,0,0
282,EAST_HGCROC_RE_Sb2,1,1
282,EAST_ECON_RE_Hb0,0,1
282,EAST_ECON_RE_Hb1,1,1
282,EAST_ECON_RE_Hb2,1,1
282,EAST_ECON_RE_Sb0,0,1
282,EAST_ECON_RE_Sb1,1,1
282,EAST_ECON_RE_Sb2,1,1
282,EAST_PG_LDO0,0,1
282,EAST_PG_LDO1,1,1
282,EAST_PG_LDO2,1,1
282,EAST_PG_DCDC0,1,1
282,EAST_PG_DCDC1,1,1
282,EAST_PG_DCDC2,1,1
282,X_RESETb,1,1
282,X_PWR_EN,1,1
295,WEST_PWR_EN0,1,1
295,WEST_PWR_EN1,1,1
295,WEST_PWR_EN2,1,1
295,WEST_HGCROC_RE_Hb0,1,1
295,WEST_HGCROC_RE_Hb1,1,1
295,WEST_HGCROC_RE_Hb2,1,1
295,WEST_HGCROC_RE_Sb0,1,1
295,WEST_HGCROC_RE_Sb1,1,1
295,WEST_HGCROC_RE_Sb2,1,1
295,WEST_ECON_RE_Hb0,1,1
295,WEST_ECON_RE_Hb1,1,1
295,WEST_ECON_RE_Hb2,1,1
295,WEST_ECON_RE_Sb0,1,1
295,WEST_ECON_RE_Sb1,1,1
295,WEST_ECON_RE_Sb2,1,1
295,WEST_PG_LDO0,1,1
295,WEST_PG_LDO1,1,1
295,WEST_PG_LDO2,1,1
295,WEST_PG_DCDC0,1,1
295,WEST_PG_DCDC1,1,1
295,WEST_PG_DCDC2,1,1
295,EAST_PWR_EN0,1,1
295,EAST_PWR_EN1,1,1
295,EAST_PWR_EN2,1,1
295,EAST_HGCROC_RE_Hb0,1,1
295,EAST_HGCROC_RE_Hb1,1,1
295,EAST_HGCROC_RE_Hb2,1,1
295,EAST_HGCROC_RE_Sb0,1,1
295,EAST_HGCROC_RE_Sb1,1,1
295,EAST_HGCROC_RE_Sb2,1,1
295,EAST_ECON_RE_Hb0,1,1
295,EAST_ECON_RE_Hb1,1,1
295,EAST_ECON_RE_Hb2,1,1
295,EAST_ECON_RE_Sb0,1,1
295,EAST_ECON_RE_Sb1,1,1
295,EAST_ECON_RE_Sb2,1,1
295,EAST_PG_LDO0,1,1
295,EAST_PG_LDO1,1,1
295,EAST_PG_LDO2,1,1
295,EAST_PG_DCDC0,1,1
295,EAST_PG_DCDC1,1,1
295,EAST_PG_DCDC2,1,1
295,X_RESETb,1,1
295,X_PWR_EN,1,1
307,WEST_PWR_EN0,1,1
307,WEST_PWR_EN1,1,1
307,WEST_PWR_EN2,1,1
307,WEST_HGCROC_RE_Hb0,1,1
307,WEST_HGCROC_RE_Hb1,1,1
307,WEST_HGCROC_RE_Hb2,1,1
307,WEST_HGCROC_RE_Sb0,1,1
307,WEST_HGCROC_RE_Sb1,1,1
307,WEST_HGCROC_RE_Sb2,1,1
307,WEST_ECON_RE_Hb0,1,1
307,WEST_ECON_RE_Hb1,1,1
307,WEST_ECON_RE_Hb2,1,1
307,WEST_ECON_RE_Sb0,1,1
307,WEST_ECON_RE_Sb1,1,1
307,WEST_ECON_RE_Sb2,1,1
307,WEST_PG_LDO0,1,1
307,WEST_PG_LDO1,1,1
307,WEST_PG_LDO2,1,1
307,WEST_PG_DCDC0,1,1
307,WEST_PG_DCDC1,1,1
307,WEST_PG_DCDC2,1,1
307,EAST_PWR_EN0,1,1
307,EAST_PWR_EN1,1,1
307,EAST_PWR_EN2,1,1
307,EAST_HGCROC_RE_Hb0,1,1
307,EAST_HGCROC_RE_Hb1,1,1
307,EAST_HGCROC_RE_Hb2,1,1
307,EAST_HGCROC_RE_Sb0,1,1
307,EAST_HGCROC_RE_Sb1,1,1
307,EAST_HGCROC_RE_Sb2,1,1
307,EAST_ECON_RE_Hb0,1,1
307,EAST_ECON_RE_Hb1,1,1
307,EAST_ECON_RE_Hb2,1,1
307,EAST_ECON_RE_Sb0,1,1
307,EAST_ECON_RE_Sb1,1,1
307,EAST_ECON_RE_Sb2,1,1
307,EAST_PG_LDO0,1,1
307,EAST_PG_LDO1,1,1
307,EAST_PG_LDO2,1,1
307,EAST_PG_DCDC0,1,1
307,EAST_PG_DCDC1,1,1
307,EAST_PG_DCDC2,1,1
307,X_RESETb,1,1
307,X_PWR_EN,1,1
