Test ID,E Link,Resistance
67,WEST_RTD0,
67,WEST_RTD1,
67,WEST_RTD2,
67,EAST_RTD0,
67,EAST_RTD1,
67,EAST_RTD2,
73,WEST_RTD0,
73,WEST_RTD1,
73,WEST_RTD2,
73,EAST_RTD0,
73,EAST_RTD1,
73,EAST_RTD2,
79,WEST_RTD0,
79,WEST_RTD1,
79,WEST_RTD2,
79,EAST_RTD0,
79,EAST_RTD1,
79,EAST_RTD2,
86,WEST_RTD0,
86,WEST_RTD1,
86,WEST_RTD2,
86,EAST_RTD0,
86,EAST_RTD1,
86,EAST_RTD2,
93,WEST_RTD0,
93,WEST_RTD1,
93,WEST_RTD2,
93,EAST_RTD0,
93,EAST_RTD1,
93,EAST_RTD2,
101,WEST_RTD0,
101,WEST_RTD1,
101,WEST_RTD2,
101,EAST_RTD0,
101,EAST_RTD1,
101,EAST_RTD2,
114,WEST_RTD0,
114,WEST_RTD1,
114,WEST_RTD2,
114,EAST_RTD0,
114,EAST_RTD1,
114,EAST_RTD2,
121,WEST_RTD0,
121,WEST_RTD1,
121,WEST_RTD2,
121,EAST_RTD0,
121,EAST_RTD1,
121,EAST_RTD2,
141,WEST_RTD0,1468.7112957836193
141,WEST_RTD1,1931.0334681456932
141,WEST_RTD2,2639.0783516475417
141,EAST_RTD0,1468.589209019939
141,EAST_RTD1,1929.6154929574732
141,EAST_RTD2,2609.4825701045147
151,WEST_RTD0,1500.723704849718
151,WEST_RTD1,1903.0867907176228
151,WEST_RTD2,2812.4327650071737
151,EAST_RTD0,1469.8704990576266
151,EAST_RTD1,1932.532758034838
151,EAST_RTD2,2814.0267664323505
161,WEST_RTD0,1411.851376916459
161,WEST_RTD1,1881.9688157126013
161,WEST_RTD2,3004.3243390682806
161,EAST_RTD0,1413.497336305443
161,EAST_RTD1,1879.2957119849682
161,EAST_RTD2,2998.041966414032
182,WEST_RTD0,1409.7181277389839
182,WEST_RTD1,1872.5615229344137
182,WEST_RTD2,2568.6201598632742
182,EAST_RTD0,1409.9687368123439
182,EAST_RTD1,1871.811764165523
182,EAST_RTD2,2593.951617323869
193,WEST_RTD0,1718.1211618161035
193,WEST_RTD1,2192.819303187429
193,WEST_RTD2,3404.8825470927827
193,EAST_RTD0,1747.0778259648296
193,EAST_RTD1,2194.0433785530518
193,EAST_RTD2,3408.1754542631325
208,WEST_RTD0,1380.3168256297586
208,WEST_RTD1,1909.224319180276
208,WEST_RTD2,2598.198712723429
208,EAST_RTD0,1382.2251840167437
208,EAST_RTD1,1878.0273056621518
208,EAST_RTD2,2592.670367960181
238,WEST_RTD0,1414.4101690222935
238,WEST_RTD1,1888.6127868006556
238,WEST_RTD2,3233.145070227862
238,EAST_RTD0,1416.2573573860818
238,EAST_RTD1,1885.784517888474
238,EAST_RTD2,3271.7151644810074
251,WEST_RTD0,1417.8166817517128
251,WEST_RTD1,1925.507402937229
251,WEST_RTD2,3592.6693770690154
251,EAST_RTD0,1419.0646229059594
251,EAST_RTD1,1923.7882004353362
251,EAST_RTD2,3584.0040175919466
261,WEST_RTD0,1418.1857427284626
261,WEST_RTD1,1895.2544621790585
261,WEST_RTD2,3591.4674539920925
261,EAST_RTD0,1418.8967668593048
261,EAST_RTD1,1924.148871272081
261,EAST_RTD2,3581.372308178937
272,WEST_RTD0,1437.231342133073
272,WEST_RTD1,1901.1737124378405
272,WEST_RTD2,3027.3321719414535
272,EAST_RTD0,1435.771138844545
272,EAST_RTD1,1897.9192855991766
272,EAST_RTD2,3028.4070913402365
283,WEST_RTD0,1748.8070438018215
283,WEST_RTD1,2219.156495341441
283,WEST_RTD2,2927.679221157425
283,EAST_RTD0,1746.1448104090618
283,EAST_RTD1,2220.9798179166046
283,EAST_RTD2,2898.330413827468
296,WEST_RTD0,1380.1008854717668
296,WEST_RTD1,1850.3788002986698
296,WEST_RTD2,3215.1235101933544
296,EAST_RTD0,1382.0961803304701
296,EAST_RTD1,1818.1336630943015
296,EAST_RTD2,3208.324464972662
308,WEST_RTD0,1438.1174096957357
308,WEST_RTD1,1903.356847135174
308,WEST_RTD2,3035.4132207118078
308,EAST_RTD0,1405.8622571562685
308,EAST_RTD1,1901.4037994954913
308,EAST_RTD2,3036.592235059906
