Test ID,Module 1,Module 2,Module 3,Module 4,Module 5,Module 6,Module 7
68,320640000.0,498149700.0,321912700.0,320640000.0,320640000.0,320640000.0,0.0
74,320639900.0,499784800.0,325298100.0,320639900.0,320640000.0,320639900.0,0.0
80,320640000.0,498149700.0,321912700.0,320640000.0,320640000.0,320640000.0,0.0
87,320639900.0,499784800.0,325298100.0,320639900.0,320640000.0,320639900.0,0.0
94,320640000.0,498149700.0,321912700.0,320640000.0,320640000.0,320640000.0,0.0
102,320639900.0,499784800.0,325298100.0,320639900.0,320640000.0,320639900.0,0.0
112,320639900.0,470328600.0,324910000.0,320639900.0,320640000.0,320640000.0,0.0
119,320639900.0,470328600.0,324910000.0,320639900.0,320640000.0,320640000.0,0.0
127,320643400.0,320643300.0,320643300.0,320643400.0,320643300.0,320643400.0,320643300.0
145,320643300.0,320643400.0,320643400.0,320643300.0,320643400.0,320643300.0,320643400.0
155,320643400.0,320643300.0,320643300.0,320643400.0,320643300.0,320643400.0,320643300.0
165,320643400.0,320643300.0,320643300.0,320643400.0,320643300.0,320643400.0,320643300.0
186,320640400.0,320640300.0,320640300.0,320640400.0,320640300.0,320640300.0,320640300.0
197,320640300.0,320640400.0,320640400.0,320640300.0,320640400.0,320640300.0,320640400.0
212,320640300.0,320640400.0,320640400.0,320640300.0,320640400.0,320640300.0,320640400.0
243,320640400.0,320640300.0,320640300.0,320640400.0,320640300.0,320640400.0,320640300.0
255,320640300.0,320640400.0,320640400.0,320640300.0,320640400.0,320640300.0,320640400.0
265,320640400.0,320640300.0,320640300.0,320640400.0,320640300.0,320640400.0,320640300.0
276,320640500.0,320640500.0,320640500.0,320640500.0,320640500.0,320640500.0,320640500.0
277,320640500.0,320640500.0,320640500.0,320640500.0,320640500.0,320640600.0,320640500.0
287,320640500.0,320640500.0,320640500.0,320640500.0,320640500.0,320640500.0,320640500.0
300,320640500.0,320640500.0,320640400.0,320640500.0,320640500.0,320640500.0,320640500.0
302,320640400.0,320640500.0,320640500.0,320640400.0,320640500.0,320640400.0,320640500.0
312,320640500.0,320640500.0,320640500.0,320640500.0,320640500.0,320640500.0,320640500.0
